,Price,Positive,Negative,Achievements,Average playtime forever,Average playtime two weeks,Median playtime forever,Median playtime two weeks
Price,1.0,0.03474920985157566,0.029712587871983834,0.0021183027310067945,0.07352062645591972,0.07982517634404661,0.04822202774351104,0.07826546374025957
Positive,0.03474920985157566,1.0,0.7839491132614846,0.012571248845741808,0.20308607638561982,0.09986165383511145,0.034126587097712734,0.05978211103458693
Negative,0.029712587871983834,0.7839491132614846,1.0,0.008994933063861526,0.19416664069592804,0.09490056786186582,0.035626448711840494,0.058174719589455755
Achievements,0.0021183027310067945,0.012571248845741808,0.008994933063861526,1.0,0.011840263151193553,0.00870495039181639,0.004884770465375333,0.007180985013996347
Average playtime forever,0.07352062645591972,0.20308607638561982,0.19416664069592804,0.011840263151193553,1.0,0.15842554778415652,0.8842864061055431,0.14259271054390982
Average playtime two weeks,0.07982517634404661,0.09986165383511145,0.09490056786186582,0.00870495039181639,0.15842554778415652,1.0,0.07432124291023676,0.9719929107001958
Median playtime forever,0.04822202774351104,0.034126587097712734,0.035626448711840494,0.004884770465375333,0.8842864061055431,0.07432124291023676,1.0,0.07048384496527184
Median playtime two weeks,0.07826546374025957,0.05978211103458693,0.058174719589455755,0.007180985013996347,0.14259271054390982,0.9719929107001958,0.07048384496527184,1.0
